beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.05918367346938776,0.8624489795918368,0.0,0.0,3.3645430026747162e+103,I_stable,I_stable,0.8624489795918368,0.8949526524098372
0.05918367346938776,0.8820408163265305,0.0,0.0,4.7449387179657325e+103,I_stable,I_stable,0.8820408163265305,0.910157415583198
0.05918367346938776,0.9016326530612244,0.0,0.0,7.122542108157145e+103,I_stable,I_stable,0.9016326530612244,0.9252779731608697
0.05918367346938776,0.9212244897959183,0.0,0.0,1.0974864664561601e+104,I_stable,I_stable,0.9212244897959183,0.9403166064635249
0.05918367346938776,0.9408163265306122,0.0,0.0,2.027970849441152e+104,I_stable,I_stable,0.9408163265306122,0.9552754879136958
0.05918367346938776,0.9604081632653061,0.0,0.0,4.606935289864113e+104,I_stable,I_stable,0.9604081632653061,0.9701566883887878
0.05918367346938776,0.98,0.0,0.0,1.8319548900748757e+105,I_stable,I_stable,0.98,0.9849621839380145
0.07877551020408163,0.02,2.7816909726015544e-19,8.309169337422283e-15,2001.2430754484344,III_signgd,II_spike,0.02,0.053182958969449884
0.07877551020408163,0.03959183673469388,3.294332233687977e-21,8.309169337422308e-15,20252881.98153587,II_spike,II_spike,0.03959183673469388,0.0887573316607622
0.07877551020408163,0.05918367346938776,1.0092413935961625e-23,8.3091693374223e-15,143938458.58201122,II_spike,II_spike,0.05918367346938776,0.11999176412600944
0.07877551020408163,0.07877551020408163,3.063e-321,3.063e-321,1.7406234075661035e+101,I_stable,I_stable,0.07877551020408163,0.14869399108610135
0.07877551020408163,0.09836734693877551,6.2e-321,6.2e-321,2.7625946758496917e+101,I_stable,I_stable,0.09836734693877551,0.17564598165422904
0.07877551020408163,0.11795918367346939,4.166e-320,4.166e-320,3.751515608531591e+101,I_stable,I_stable,0.11795918367346939,0.20127916346199196
0.07877551020408163,0.13755102040816325,1.3266e-320,1.3266e-320,2.265429239231798e+101,I_stable,I_stable,0.13755102040816325,0.2258644406312193
0.07877551020408163,0.1571428571428571,2.955e-320,2.955e-320,3.699107706036895e+101,I_stable,I_stable,0.1571428571428571,0.24958643848936826
0.07877551020408163,0.176734693877551,1.6205e-320,1.6205e-320,4.9299076687452426e+101,I_stable,I_stable,0.176734693877551,0.27257835044093476
0.07877551020408163,0.1963265306122449,1.68e-320,1.68e-320,4.992586013126122e+101,I_stable,I_stable,0.1963265306122449,0.29494038580671944
0.07877551020408163,0.21591836734693876,1.629e-320,1.629e-320,3.696685076060802e+101,I_stable,I_stable,0.21591836734693876,0.31675041368227413
0.07877551020408163,0.23551020408163262,1.8196e-320,1.8196e-320,4.037899795414439e+101,I_stable,I_stable,0.23551020408163262,0.33807051609020067
0.07877551020408163,0.25510204081632654,1.7826e-320,1.7826e-320,5.719738530840592e+101,I_stable,I_stable,0.25510204081632654,0.35895123321356215
0.07877551020408163,0.2746938775510204,1.968e-320,1.968e-320,4.958639300383492e+101,I_stable,I_stable,0.2746938775510204,0.3794344287204513
0.07877551020408163,0.29428571428571426,2.01e-320,2.01e-320,4.932460667767331e+101,I_stable,I_stable,0.29428571428571426,0.39955529026532965
0.07877551020408163,0.31387755102040815,2.0173e-320,2.0173e-320,9.277919571841712e+101,I_stable,I_stable,0.31387755102040815,0.41934376641984905
0.07877551020408163,0.33346938775510204,1.8893e-320,1.8893e-320,9.383504463406257e+101,I_stable,I_stable,0.33346938775510204,0.4388256240669263
0.07877551020408163,0.35306122448979593,2.071e-320,2.071e-320,8.863065983879219e+101,I_stable,I_stable,0.35306122448979593,0.45802324290480784
0.07877551020408163,0.3726530612244898,1.5914e-320,1.5914e-320,7.417912812270176e+101,I_stable,I_stable,0.3726530612244898,0.4769562233715155
0.07877551020408163,0.39224489795918366,1.8987e-320,1.8987e-320,8.380309890431311e+101,I_stable,I_stable,0.39224489795918366,0.49564185930152915
0.07877551020408163,0.41183673469387755,1.8607e-320,1.8607e-320,1.1392308201161375e+102,I_stable,I_stable,0.41183673469387755,0.5140955106577026
0.07877551020408163,0.43142857142857144,1.4456e-320,1.4456e-320,1.1024628601925082e+102,I_stable,I_stable,0.43142857142857144,0.5323309012057498
0.07877551020408163,0.4510204081632653,1.785e-320,1.785e-320,1.6360604928696395e+102,I_stable,I_stable,0.4510204081632653,0.5503603589627031
0.07877551020408163,0.47061224489795916,1.435e-320,1.435e-320,1.50302162456552e+102,I_stable,I_stable,0.47061224489795916,0.5681950124246583
0.07877551020408163,0.49020408163265305,1.751e-320,1.751e-320,1.7084917824696318e+102,I_stable,I_stable,0.49020408163265305,0.5858449522056745
0.07877551020408163,0.509795918367347,0.0,0.0,2.0985222020199217e+102,I_stable,I_stable,0.509795918367347,0.6033193653210811
0.07877551020408163,0.5293877551020408,0.0,0.0,1.786409064319487e+102,I_stable,I_stable,0.5293877551020408,0.6206266476163069
0.07877551020408163,0.5489795918367347,0.0,0.0,2.4313596234203287e+102,I_stable,I_stable,0.5489795918367347,0.6377744985737119
0.07877551020408163,0.5685714285714285,0.0,0.0,2.4228899677708083e+102,I_stable,I_stable,0.5685714285714285,0.654770001788624
0.07877551020408163,0.5881632653061224,0.0,0.0,2.7148941680178753e+102,I_stable,I_stable,0.5881632653061224,0.6716196936990277
0.07877551020408163,0.6077551020408163,0.0,0.0,3.6141467557210484e+102,I_stable,I_stable,0.6077551020408163,0.6883296226168335
0.07877551020408163,0.6273469387755102,0.0,0.0,3.602758995888666e+102,I_stable,I_stable,0.6273469387755102,0.7049053996971941
0.07877551020408163,0.6469387755102041,0.0,0.0,4.3540696328776215e+102,I_stable,I_stable,0.6469387755102041,0.7213522431638066
0.07877551020408163,0.666530612244898,0.0,0.0,4.753388014117105e+102,I_stable,I_stable,0.666530612244898,0.7376750168593522
0.07877551020408163,0.6861224489795918,0.0,0.0,5.167208679024392e+102,I_stable,I_stable,0.6861224489795918,0.753878263994344
0.07877551020408163,0.7057142857142857,0.0,0.0,6.661908186001418e+102,I_stable,I_stable,0.7057142857142857,0.7699662368122037
0.07877551020408163,0.7253061224489796,0.0,0.0,7.600707882420051e+102,I_stable,I_stable,0.7253061224489796,0.785942922764163
0.07877551020408163,0.7448979591836734,0.0,0.0,8.640278099688858e+102,I_stable,I_stable,0.7448979591836734,0.8018120676876266
0.07877551020408163,0.7644897959183673,0.0,0.0,1.048546921894008e+103,I_stable,I_stable,0.7644897959183673,0.8175771964006852
0.07877551020408163,0.7840816326530612,0.0,0.0,1.3143044400221472e+103,I_stable,I_stable,0.7840816326530612,0.8332416310595315
0.07877551020408163,0.8036734693877551,0.0,0.0,1.579146556339074e+103,I_stable,I_stable,0.8036734693877551,0.8488085075715106
0.07877551020408163,0.823265306122449,0.0,0.0,1.955711566746596e+103,I_stable,I_stable,0.823265306122449,0.8642807903120353
0.07877551020408163,0.8428571428571429,0.0,0.0,2.564586519774929e+103,I_stable,I_stable,0.8428571428571429,0.8796612853567701
0.07877551020408163,0.8624489795918368,0.0,0.0,3.448345844742194e+103,I_stable,I_stable,0.8624489795918368,0.8949526524098372
0.07877551020408163,0.8820408163265305,0.0,0.0,4.842623974822106e+103,I_stable,I_stable,0.8820408163265305,0.910157415583198
0.07877551020408163,0.9016326530612244,0.0,0.0,6.87055731473011e+103,I_stable,I_stable,0.9016326530612244,0.9252779731608697
0.07877551020408163,0.9212244897959183,0.0,0.0,1.111006859263838e+104,I_stable,I_stable,0.9212244897959183,0.9403166064635249
0.07877551020408163,0.9408163265306122,0.0,0.0,1.9838518342629016e+104,I_stable,I_stable,0.9408163265306122,0.9552754879136958
0.07877551020408163,0.9604081632653061,0.0,0.0,4.53749780467637e+104,I_stable,I_stable,0.9604081632653061,0.9701566883887878
0.07877551020408163,0.98,0.0,0.0,1.817155113244784e+105,I_stable,I_stable,0.98,0.9849621839380145
0.09836734693877551,0.02,3.6845136412963593e-19,7.094929729930549e-15,88165892.54378124,III_signgd,II_spike,0.02,0.053182958969449884
0.09836734693877551,0.03959183673469388,1.869419623568422e-22,7.094929729930501e-15,10878023350.3914,III_signgd,II_spike,0.03959183673469388,0.0887573316607622
0.09836734693877551,0.05918367346938776,7.861221859763538e-24,7.094929729930441e-15,121433110039.50978,II_spike,II_spike,0.05918367346938776,0.11999176412600944
